state,population,date,deaths
AK,740995,2022-01-01,978
AK,740995,2022-01-02,978
AK,740995,2022-01-03,979
AK,740995,2022-01-04,979
AK,740995,2022-01-05,979
AK,740995,2022-01-06,979
AK,740995,2022-01-07,980
AK,740995,2022-01-08,980
AK,740995,2022-01-09,980
AK,740995,2022-01-10,980
AK,740995,2022-01-11,980
AK,740995,2022-01-12,985
AK,740995,2022-01-13,985
AK,740995,2022-01-14,987
AK,740995,2022-01-15,987
AK,740995,2022-01-16,987
AK,740995,2022-01-17,987
AK,740995,2022-01-18,987
AK,740995,2022-01-19,1051
AK,740995,2022-01-20,1051
AK,740995,2022-01-21,1051
AK,740995,2022-01-22,1051
AK,740995,2022-01-23,1051
AK,740995,2022-01-24,1072
AK,740995,2022-01-25,1072
AK,740995,2022-01-26,1081
AK,740995,2022-01-27,1081
AK,740995,2022-01-28,1085
AK,740995,2022-01-29,1085
AK,740995,2022-01-30,1085
AK,740995,2022-01-31,1085
AK,740995,2022-02-01,1085
AK,740995,2022-02-02,1093
AK,740995,2022-02-03,1093
AK,740995,2022-02-04,1093
AK,740995,2022-02-05,1093
AK,740995,2022-02-06,1093
AK,740995,2022-02-07,1093
AK,740995,2022-02-08,1093
AK,740995,2022-02-09,1114
AK,740995,2022-02-10,1114
AK,740995,2022-02-11,1114
AK,740995,2022-02-12,1114
AK,740995,2022-02-13,1114
AK,740995,2022-02-14,1114
AK,740995,2022-02-15,1114
AK,740995,2022-02-16,1141
AK,740995,2022-02-17,1141
AK,740995,2022-02-18,1141
AK,740995,2022-02-19,1141
AK,740995,2022-02-20,1141
AK,740995,2022-02-21,1141
AK,740995,2022-02-22,1141
AK,740995,2022-02-23,1163
AK,740995,2022-02-24,1163
AK,740995,2022-02-25,1163
AK,740995,2022-02-26,1163
AK,740995,2022-02-27,1163
AK,740995,2022-02-28,1163
AK,740995,2022-03-01,1163
AK,740995,2022-03-02,1191
AK,740995,2022-03-03,1191
AK,740995,2022-03-04,1191
AK,740995,2022-03-05,1191
AK,740995,2022-03-06,1191
AK,740995,2022-03-07,1191
AK,740995,2022-03-08,1191
AK,740995,2022-03-09,1201
AK,740995,2022-03-10,1201
AK,740995,2022-03-11,1201
AK,740995,2022-03-12,1201
AK,740995,2022-03-13,1201
AK,740995,2022-03-14,1201
AK,740995,2022-03-15,1201
AK,740995,2022-03-16,1202
AK,740995,2022-03-17,1202
AK,740995,2022-03-18,1202
AK,740995,2022-03-19,1202
AK,740995,2022-03-20,1202
AK,740995,2022-03-21,1202
AK,740995,2022-03-22,1202
AK,740995,2022-03-23,1222
AK,740995,2022-03-24,1222
AK,740995,2022-03-25,1222
AK,740995,2022-03-26,1222
AK,740995,2022-03-27,1222
AK,740995,2022-03-28,1222
AK,740995,2022-03-29,1222
AK,740995,2022-03-30,1228
AK,740995,2022-03-31,1228
AL,4903185,2022-01-01,16455
AL,4903185,2022-01-02,16455
AL,4903185,2022-01-03,16455
AL,4903185,2022-01-04,16496
AL,4903185,2022-01-05,16503
AL,4903185,2022-01-06,16543
AL,4903185,2022-01-07,16585
AL,4903185,2022-01-08,16624
AL,4903185,2022-01-09,16624
AL,4903185,2022-01-10,16624
AL,4903185,2022-01-11,16630
AL,4903185,2022-01-12,16641
AL,4903185,2022-01-13,16641
AL,4903185,2022-01-14,16641
AL,4903185,2022-01-15,16641
AL,4903185,2022-01-16,16734
AL,4903185,2022-01-17,16734
AL,4903185,2022-01-18,16734
AL,4903185,2022-01-19,16756
AL,4903185,2022-01-20,16792
AL,4903185,2022-01-21,16824
AL,4903185,2022-01-22,16826
AL,4903185,2022-01-23,16826
AL,4903185,2022-01-24,16826
AL,4903185,2022-01-25,16914
AL,4903185,2022-01-26,16826
AL,4903185,2022-01-27,16826
AL,4903185,2022-01-28,17047
AL,4903185,2022-01-29,17086
AL,4903185,2022-01-30,17086
AL,4903185,2022-01-31,17086
AL,4903185,2022-02-01,17146
AL,4903185,2022-02-02,17215
AL,4903185,2022-02-03,17215
AL,4903185,2022-02-04,17371
AL,4903185,2022-02-05,17371
AL,4903185,2022-02-06,17371
AL,4903185,2022-02-07,17387
AL,4903185,2022-02-08,17407
AL,4903185,2022-02-09,17452
AL,4903185,2022-02-10,17502
AL,4903185,2022-02-11,17505
AL,4903185,2022-02-12,17571
AL,4903185,2022-02-13,17571
AL,4903185,2022-02-14,17571
AL,4903185,2022-02-15,17656
AL,4903185,2022-02-16,17749
AL,4903185,2022-02-17,17787
AL,4903185,2022-02-18,17877
AL,4903185,2022-02-19,17933
AL,4903185,2022-02-20,17933
AL,4903185,2022-02-21,17933
AL,4903185,2022-02-22,17938
AL,4903185,2022-02-23,18007
AL,4903185,2022-02-24,18102
AL,4903185,2022-02-25,18186
AL,4903185,2022-02-26,18225
AL,4903185,2022-02-27,18225
AL,4903185,2022-02-28,18225
AL,4903185,2022-03-01,18287
AL,4903185,2022-03-02,18335
AL,4903185,2022-03-03,18407
AL,4903185,2022-03-04,18480
