state,population,date,deaths
AK,740995,2020-12-01,123
AK,740995,2020-12-02,123
AK,740995,2020-12-03,131
AK,740995,2020-12-04,142
AK,740995,2020-12-05,143
AK,740995,2020-12-06,143
AK,740995,2020-12-07,146
AK,740995,2020-12-08,146
AK,740995,2020-12-09,150
AK,740995,2020-12-10,155
AK,740995,2020-12-11,158
AK,740995,2020-12-12,176
AK,740995,2020-12-13,176
AK,740995,2020-12-14,176
AK,740995,2020-12-15,179
AK,740995,2020-12-16,181
AK,740995,2020-12-17,183
AK,740995,2020-12-18,183
AK,740995,2020-12-19,184
AK,740995,2020-12-20,184
AK,740995,2020-12-21,184
AK,740995,2020-12-22,194
AK,740995,2020-12-23,197
AK,740995,2020-12-24,199
AK,740995,2020-12-25,199
AK,740995,2020-12-26,200
AK,740995,2020-12-27,200
AK,740995,2020-12-28,200
AK,740995,2020-12-29,201
AK,740995,2020-12-30,203
AK,740995,2020-12-31,206
AK,740995,2021-01-01,206
AK,740995,2021-01-02,215
AK,740995,2021-01-03,215
AK,740995,2021-01-04,218
AK,740995,2021-01-05,218
AK,740995,2021-01-06,220
AK,740995,2021-01-07,223
AK,740995,2021-01-08,223
AK,740995,2021-01-09,224
AK,740995,2021-01-10,224
AK,740995,2021-01-11,224
AK,740995,2021-01-12,225
AK,740995,2021-01-13,226
AK,740995,2021-01-14,228
AK,740995,2021-01-15,229
AK,740995,2021-01-16,229
AK,740995,2021-01-17,229
AK,740995,2021-01-18,229
AK,740995,2021-01-19,230
AK,740995,2021-01-20,253
AK,740995,2021-01-21,254
AK,740995,2021-01-22,254
AK,740995,2021-01-23,259
AK,740995,2021-01-24,259
AK,740995,2021-01-25,259
AK,740995,2021-01-26,260
AK,740995,2021-01-27,261
AK,740995,2021-01-28,262
AK,740995,2021-01-29,262
AK,740995,2021-01-30,262
AK,740995,2021-01-31,262
AK,740995,2021-02-01,262
AK,740995,2021-02-02,279
AK,740995,2021-02-03,279
AK,740995,2021-02-04,279
AK,740995,2021-02-05,279
AK,740995,2021-02-06,279
AK,740995,2021-02-07,279
AK,740995,2021-02-08,279
AK,740995,2021-02-09,280
AK,740995,2021-02-10,280
AK,740995,2021-02-11,280
AK,740995,2021-02-12,282
AK,740995,2021-02-13,282
AK,740995,2021-02-14,282
AK,740995,2021-02-15,282
AK,740995,2021-02-16,287
AK,740995,2021-02-17,288
AK,740995,2021-02-18,288
AK,740995,2021-02-19,289
AK,740995,2021-02-20,289
AK,740995,2021-02-21,289
AK,740995,2021-02-22,290
AK,740995,2021-02-23,290
AK,740995,2021-02-24,290
AK,740995,2021-02-25,290
AK,740995,2021-02-26,290
AK,740995,2021-02-27,290
AK,740995,2021-02-28,290
AK,740995,2021-03-01,300
AK,740995,2021-03-02,302
AK,740995,2021-03-03,303
AK,740995,2021-03-04,303
AK,740995,2021-03-05,305
AK,740995,2021-03-06,305
AK,740995,2021-03-07,305
AK,740995,2021-03-08,305
AK,740995,2021-03-09,305
AK,740995,2021-03-10,305
AK,740995,2021-03-11,305
AK,740995,2021-03-12,306
AK,740995,2021-03-13,306
AK,740995,2021-03-14,306
AK,740995,2021-03-15,306
AK,740995,2021-03-16,306
AK,740995,2021-03-17,307
AK,740995,2021-03-18,310
AK,740995,2021-03-19,310
AK,740995,2021-03-20,310
AK,740995,2021-03-21,310
AK,740995,2021-03-22,310
AK,740995,2021-03-23,312
AK,740995,2021-03-24,312
AK,740995,2021-03-25,313
AK,740995,2021-03-26,313
AK,740995,2021-03-27,313
AK,740995,2021-03-28,313
AK,740995,2021-03-29,313
AK,740995,2021-03-30,313
AK,740995,2021-03-31,313
AL,4903185,2020-12-01,3638
AL,4903185,2020-12-02,3711
AL,4903185,2020-12-03,3776
AL,4903185,2020-12-04,3831
AL,4903185,2020-12-05,3877
AL,4903185,2020-12-06,3889
AL,4903185,2020-12-07,3892
AL,4903185,2020-12-08,3942
AL,4903185,2020-12-09,3985
AL,4903185,2020-12-10,4034
AL,4903185,2020-12-11,4086
AL,4903185,2020-12-12,4102
AL,4903185,2020-12-13,4102
AL,4903185,2020-12-14,4102
AL,4903185,2020-12-15,4124
AL,4903185,2020-12-16,4198
AL,4903185,2020-12-17,4254
AL,4903185,2020-12-18,4296
AL,4903185,2020-12-19,4389
AL,4903185,2020-12-20,4389
AL,4903185,2020-12-21,4389
AL,4903185,2020-12-22,4452
AL,4903185,2020-12-23,4587
AL,4903185,2020-12-24,4676
AL,4903185,2020-12-25,4680
AL,4903185,2020-12-26,4685
AL,4903185,2020-12-27,4691
AL,4903185,2020-12-28,4712
AL,4903185,2020-12-29,4737
AL,4903185,2020-12-30,4774
AL,4903185,2020-12-31,4827
AL,4903185,2021-01-01,4872
AL,4903185,2021-01-02,4872
AL,4903185,2021-01-03,4873
AL,4903185,2021-01-04,4878
AL,4903185,2021-01-05,4886
AL,4903185,2021-01-06,4994
AL,4903185,2021-01-07,5080
AL,4903185,2021-01-08,5191
AL,4903185,2021-01-09,5299
AL,4903185,2021-01-10,5334
AL,4903185,2021-01-11,5347
AL,4903185,2021-01-12,5573
AL,4903185,2021-01-13,5760
AL,4903185,2021-01-14,5945
AL,4903185,2021-01-15,6030
AL,4903185,2021-01-16,6119
AL,4903185,2021-01-17,6120
AL,4903185,2021-01-18,6121
AL,4903185,2021-01-19,6126
AL,4903185,2021-01-20,6283
AL,4903185,2021-01-21,6379
AL,4903185,2021-01-22,6486
AL,4903185,2021-01-23,6657
AL,4903185,2021-01-24,6660
AL,4903185,2021-01-25,6662
AL,4903185,2021-01-26,6896
AL,4903185,2021-01-27,7172
AL,4903185,2021-01-28,7340
AL,4903185,2021-01-29,7566
AL,4903185,2021-01-30,7566
AL,4903185,2021-01-31,7688
AL,4903185,2021-02-01,7688
AL,4903185,2021-02-02,7894
AL,4903185,2021-02-03,8203
AL,4903185,2021-02-04,8365
AL,4903185,2021-02-05,8449
AL,4903185,2021-02-06,8513
AL,4903185,2021-02-07,8515
AL,4903185,2021-02-08,8523
AL,4903185,2021-02-09,8579
AL,4903185,2021-02-10,8888
AL,4903185,2021-02-11,9021
AL,4903185,2021-02-12,9180
AL,4903185,2021-02-13,9242
AL,4903185,2021-02-14,9242
AL,4903185,2021-02-15,9244
AL,4903185,2021-02-16,9257
AL,4903185,2021-02-17,9346
AL,4903185,2021-02-18,9424
AL,4903185,2021-02-19,9573
AL,4903185,2021-02-20,9590
AL,4903185,2021-02-21,9592
AL,4903185,2021-02-22,9592
AL,4903185,2021-02-23,9660
AL,4903185,2021-02-24,9744
AL,4903185,2021-02-25,9831
AL,4903185,2021-02-26,9869
AL,4903185,2021-02-27,9930
AL,4903185,2021-02-28,9929
AL,4903185,2021-03-01,9931
AL,4903185,2021-03-02,9991
AL,4903185,2021-03-03,10029
AL,4903185,2021-03-04,10094
AL,4903185,2021-03-05,10122
AL,4903185,2021-03-06,10149
AL,4903185,2021-03-07,10148
AL,4903185,2021-03-08,10148
AL,4903185,2021-03-09,10186
AL,4903185,2021-03-10,10222
AL,4903185,2021-03-11,10274
AL,4903185,2021-03-12,10299
AL,4903185,2021-03-13,10327
AL,4903185,2021-03-14,10327
AL,4903185,2021-03-15,10329
AL,4903185,2021-03-16,10337
AL,4903185,2021-03-17,10363
AL,4903185,2021-03-18,10391
AL,4903185,2021-03-19,10425
AL,4903185,2021-03-20,10436
AL,4903185,2021-03-21,10436
AL,4903185,2021-03-22,10436
AL,4903185,2021-03-23,10450
AL,4903185,2021-03-24,10487
AL,4903185,2021-03-25,10504
AL,4903185,2021-03-26,10523
AL,4903185,2021-03-27,10526
AL,4903185,2021-03-28,10526
AL,4903185,2021-03-29,10526
AL,4903185,2021-03-30,10527
AL,4903185,2021-03-31,10554
AR,3017804,2020-12-01,2512
AR,3017804,2020-12-02,2522
AR,3017804,2020-12-03,2555
AR,3017804,2020-12-04,2586
AR,3017804,2020-12-05,2620
AR,3017804,2020-12-06,2660
AR,3017804,2020-12-07,2713
AR,3017804,2020-12-08,2752
AR,3017804,2020-12-09,2786
AR,3017804,2020-12-10,2820
AR,3017804,2020-12-11,2875
AR,3017804,2020-12-12,2911
AR,3017804,2020-12-13,2945
AR,3017804,2020-12-14,2990
AR,3017804,2020-12-15,3016
AR,3017804,2020-12-16,3074
AR,3017804,2020-12-17,3112
AR,3017804,2020-12-18,3139
AR,3017804,2020-12-19,3191
AR,3017804,2020-12-20,3237
AR,3017804,2020-12-21,3295
AR,3017804,2020-12-22,3338
AR,3017804,2020-12-23,3376
AR,3017804,2020-12-24,3406
AR,3017804,2020-12-25,3438
AR,3017804,2020-12-26,3441
AR,3017804,2020-12-27,3482
AR,3017804,2020-12-28,3537
AR,3017804,2020-12-29,3603
AR,3017804,2020-12-30,3637
AR,3017804,2020-12-31,3676
AR,3017804,2021-01-01,3711
AR,3017804,2021-01-02,3729
AR,3017804,2021-01-03,3749
AR,3017804,2021-01-04,3800
AR,3017804,2021-01-05,3836
AR,3017804,2021-01-06,3901
AR,3017804,2021-01-07,3926
AR,3017804,2021-01-08,3966
AR,3017804,2021-01-09,4010
AR,3017804,2021-01-10,4043
AR,3017804,2021-01-11,4081
AR,3017804,2021-01-12,4121
AR,3017804,2021-01-13,4186
AR,3017804,2021-01-14,4228
AR,3017804,2021-01-15,4263
AR,3017804,2021-01-16,4293
AR,3017804,2021-01-17,4311
AR,3017804,2021-01-18,4343
AR,3017804,2021-01-19,4386
AR,3017804,2021-01-20,4441
AR,3017804,2021-01-21,4496
AR,3017804,2021-01-22,4549
AR,3017804,2021-01-23,4563
AR,3017804,2021-01-24,4606
AR,3017804,2021-01-25,4650
AR,3017804,2021-01-26,4690
AR,3017804,2021-01-27,4742
AR,3017804,2021-01-28,4784
AR,3017804,2021-01-29,4831
AR,3017804,2021-01-30,4838
AR,3017804,2021-01-31,4868
AR,3017804,2021-02-01,4895
AR,3017804,2021-02-02,4939
AR,3017804,2021-02-03,4985
AR,3017804,2021-02-04,5009
AR,3017804,2021-02-05,5050
AR,3017804,2021-02-06,5061
AR,3017804,2021-02-07,5076
AR,3017804,2021-02-08,5106
AR,3017804,2021-02-09,5148
AR,3017804,2021-02-10,5174
AR,3017804,2021-02-11,5199
AR,3017804,2021-02-12,5212
AR,3017804,2021-02-13,5252
AR,3017804,2021-02-14,5265
AR,3017804,2021-02-15,5275
AR,3017804,2021-02-16,5287
AR,3017804,2021-02-17,5313
AR,3017804,2021-02-18,5323
AR,3017804,2021-02-19,5336
AR,3017804,2021-02-20,5348
AR,3017804,2021-02-21,5357
AR,3017804,2021-02-22,5363
AR,3017804,2021-02-23,5377
AR,3017804,2021-02-24,5387
AR,3017804,2021-02-25,5397
AR,3017804,2021-02-26,5407
AR,3017804,2021-02-27,5417
AR,3017804,2021-02-28,5243
AR,3017804,2021-03-01,5250
AR,3017804,2021-03-02,5254
AR,3017804,2021-03-03,5261
AR,3017804,2021-03-04,5273
AR,3017804,2021-03-05,5283
AR,3017804,2021-03-06,5297
AR,3017804,2021-03-07,5319
AR,3017804,2021-03-08,5343
AR,3017804,2021-03-09,5357
AR,3017804,2021-03-10,5382
AR,3017804,2021-03-11,5410
AR,3017804,2021-03-12,5437
AR,3017804,2021-03-13,5455
AR,3017804,2021-03-14,5474
AR,3017804,2021-03-15,5481
AR,3017804,2021-03-16,5493
AR,3017804,2021-03-17,5507
AR,3017804,2021-03-18,5515
AR,3017804,2021-03-19,5529
AR,3017804,2021-03-20,5533
AR,3017804,2021-03-21,5539
AR,3017804,2021-03-22,5544
AR,3017804,2021-03-23,5547
AR,3017804,2021-03-24,5560
AR,3017804,2021-03-25,5571
AR,3017804,2021-03-26,5583
AR,3017804,2021-03-27,5590
AR,3017804,2021-03-28,5595
AR,3017804,2021-03-29,5601
AR,3017804,2021-03-30,5616
AR,3017804,2021-03-31,5626
AS,55641,2020-12-01,0
AS,55641,2020-12-02,0
AS,55641,2020-12-03,0
AS,55641,2020-12-04,0
AS,55641,2020-12-05,0
AS,55641,2020-12-06,0
AS,55641,2020-12-07,0
AS,55641,2020-12-08,0
AS,55641,2020-12-09,0
AS,55641,2020-12-10,0
AS,55641,2020-12-11,0
AS,55641,2020-12-12,0
AS,55641,2020-12-13,0
AS,55641,2020-12-14,0
AS,55641,2020-12-15,0
AS,55641,2020-12-16,0
AS,55641,2020-12-17,0
AS,55641,2020-12-18,0
AS,55641,2020-12-19,0
AS,55641,2020-12-20,0
AS,55641,2020-12-21,0
AS,55641,2020-12-22,0
AS,55641,2020-12-23,0
AS,55641,2020-12-24,0
