date,inpatient_beds,state,series_complete_yes,booster_doses
2022-01-02,530462.2,AK,412439.0,143565.0
2022-01-02,530462.2,NC,5965690.0,1225998.0
2022-01-02,530462.2,ND,401097.0,146629.0
2022-01-02,530462.2,NE,1157882.0,464252.0
2022-01-02,530462.2,NH,915481.0,132383.0
2022-01-02,530462.2,NJ,6268124.0,2145408.0
2022-01-02,530462.2,NM,1391377.0,547206.0
2022-01-02,530462.2,NV,1742748.0,518551.0
2022-01-02,530462.2,NY,13992754.0,4686613.0
2022-01-02,530462.2,OH,6467075.0,2686731.0
2022-01-02,530462.2,OK,2119215.0,637840.0
2022-01-02,530462.2,OR,2805578.0,1106555.0
2022-01-02,530462.2,PR,2461506.0,710725.0
2022-01-02,530462.2,RI,812168.0,349350.0
2022-01-02,530462.2,SC,2741032.0,870944.0
2022-01-02,530462.2,SD,506058.0,174074.0
2022-01-02,530462.2,TN,3510846.0,1244053.0
2022-01-02,530462.2,TX,16517978.0,4641618.0
2022-01-02,530462.2,UT,1885145.0,567446.0
2022-01-02,530462.2,VA,5815658.0,2167365.0
2022-01-02,530462.2,VI,53848.0,12205.0
2022-01-02,530462.2,VT,484216.0,240489.0
2022-01-02,530462.2,WA,5177022.0,1984286.0
2022-01-02,530462.2,WI,3611924.0,1619586.0
2022-01-02,530462.2,WV,987714.0,373083.0
2022-01-02,530462.2,WY,275399.0,99249.0
2022-01-02,530462.2,MT,577429.0,229953.0
2022-01-02,530462.2,MS,1430657.0,355067.0
2022-01-02,530462.2,PA,8175381.0,2619108.0
2022-01-02,530462.2,MO,3258083.0,1100783.0
2022-01-02,530462.2,MP,39878.0,13714.0
2022-01-02,530462.2,AR,1545587.0,467495.0
2022-01-02,530462.2,AS,32705.0,3408.0
2022-01-02,530462.2,AZ,4155709.0,1263612.0
2022-01-02,530462.2,CA,26204696.0,8891986.0
2022-01-02,530462.2,CO,3818744.0,1570799.0
2022-01-02,530462.2,CT,2667658.0,1048108.0
2022-01-02,530462.2,DC,478298.0,133251.0
2022-01-02,530462.2,DE,625671.0,217041.0
2022-01-02,530462.2,FL,13620380.0,4316782.0
2022-01-02,530462.2,GA,5438749.0,1555982.0
2022-01-02,530462.2,GU,127114.0,32884.0
2022-01-02,530462.2,HI,0.0,0.0
2022-01-02,530462.2,AL,2340996.0,648381.0
2022-01-02,530462.2,MD,4260396.0,1619598.0
2022-01-02,530462.2,ID,826750.0,317324.0
2022-01-02,530462.2,IL,8133163.0,3157303.0
2022-01-02,530462.2,IN,3504434.0,1247080.0
2022-01-02,530462.2,KS,1663083.0,561913.0
2022-01-02,530462.2,KY,2427182.0,872856.0
2022-01-02,530462.2,LA,2342010.0,734754.0
2022-01-02,530462.2,MA,5138321.0,2015198.0
2022-01-02,530462.2,IA,1862206.0,831903.0
2022-01-02,530462.2,ME,1020346.0,454160.0
2022-01-02,530462.2,MI,5679420.0,2378835.0
2022-01-02,530462.2,MN,3694207.0,1716855.0
2022-01-09,540756.2,NY,14050113.142857144,4868728.428571428
2022-01-09,540756.2,MT,579121.7142857143,235519.42857142858
2022-01-09,540756.2,OK,2128034.8571428573,661689.8571428572
2022-01-09,540756.2,OH,6493623.0,2811221.4285714286
2022-01-09,540756.2,NV,1749707.0,537995.8571428572
2022-01-09,540756.2,NC,5984213.571428572,1264800.7142857143
2022-01-09,540756.2,NJ,6295556.714285715,2246586.0
2022-01-09,540756.2,NH,917344.4285714285,136250.42857142858
2022-01-09,540756.2,NE,1163909.4285714286,484787.14285714284
2022-01-09,540756.2,ND,402835.85714285716,150352.2857142857
2022-01-09,540756.2,OR,2811636.1428571427,1135759.7142857143
2022-01-09,540756.2,NM,1395369.4285714286,557330.0
2022-01-09,540756.2,PR,2469332.285714286,749422.0
2022-01-09,540756.2,UT,1894545.5714285714,596793.2857142857
2022-01-09,540756.2,SC,2749998.4285714286,900632.8571428572
2022-01-09,540756.2,SD,508341.4285714286,179377.7142857143
