date,state,inpatient_beds
2022-01-02,AK,792.9
2022-01-02,AL,10196.5
2022-01-02,AR,5483.6
2022-01-02,AS,63.9
2022-01-02,AZ,11462.2
2022-01-02,CA,48545.9
2022-01-02,CO,7071.4
2022-01-02,CT,6108.7
2022-01-02,DC,2157.4
2022-01-02,DE,2252.7000000000003
2022-01-02,FL,42439.3
2022-01-02,GA,15077.3
2022-01-02,GU,229.7
2022-01-02,HI,1846.6
2022-01-02,IA,4949.7
2022-01-02,ID,2012.7
2022-01-02,IL,20549.0
2022-01-02,IN,11647.3
2022-01-02,KS,4916.099999999999
2022-01-02,KY,7856.8
2022-01-02,LA,8222.2
2022-01-02,MA,12969.4
2022-01-02,MD,8653.6
2022-01-02,ME,2128.7
2022-01-02,MI,16563.9
2022-01-02,MN,7753.2
2022-01-02,MO,12148.1
2022-01-02,MP,71.3
2022-01-02,MS,4999.9
2022-01-02,MT,1778.2
2022-01-02,NC,16803.1
2022-01-02,ND,1481.0
2022-01-02,NE,3197.1
2022-01-02,NH,2097.5
2022-01-02,NJ,15084.9
2022-01-02,NM,2818.0
2022-01-02,NV,5819.5
2022-01-02,NY,34844.6
2022-01-02,OH,21891.1
2022-01-02,OK,6313.3
2022-01-02,OR,5425.1
2022-01-02,PA,23953.0
2022-01-02,PR,4048.4
2022-01-02,RI,1742.3
2022-01-02,SC,8092.8
2022-01-02,SD,1435.3
2022-01-02,TN,12709.6
2022-01-02,TX,43217.7
2022-01-02,UT,3257.7999999999997
2022-01-02,VA,12028.5
2022-01-02,VI,91.80000000000001
2022-01-02,VT,782.1
2022-01-02,WA,9384.4
2022-01-02,WI,8432.5
2022-01-02,WV,3963.3
2022-01-02,WY,599.3
2022-01-09,AK,807.2
2022-01-09,AL,10393.6
2022-01-09,AR,5579.0
2022-01-09,AS,71.7
2022-01-09,AZ,11701.3
2022-01-09,CA,50138.9
2022-01-09,CO,7241.8
2022-01-09,CT,6107.4
2022-01-09,DC,2215.8
2022-01-09,DE,2297.4
2022-01-09,FL,43975.0
2022-01-09,GA,15322.0
2022-01-09,GU,203.7
2022-01-09,HI,1914.8
2022-01-09,IA,4961.7
2022-01-09,ID,2049.9
2022-01-09,IL,20988.1
2022-01-09,IN,11535.3
2022-01-09,KS,4897.8
2022-01-09,KY,7902.1
2022-01-09,LA,8668.7
2022-01-09,MA,13225.3
2022-01-09,MD,8491.1
2022-01-09,ME,2100.6
2022-01-09,MI,16690.2
2022-01-09,MN,7710.8
2022-01-09,MO,12391.4
2022-01-09,MP,64.1
2022-01-09,MS,5236.900000000001
2022-01-09,MT,1782.6000000000001
2022-01-09,NC,16851.1
2022-01-09,ND,1504.0
2022-01-09,NE,3230.3
2022-01-09,NH,2129.2
2022-01-09,NJ,15195.1
2022-01-09,NM,2834.6
2022-01-09,NV,5947.2
2022-01-09,NY,35466.5
2022-01-09,OH,21773.9
2022-01-09,OK,6383.099999999999
2022-01-09,OR,5432.4
2022-01-09,PA,24256.3
2022-01-09,PR,4565.1
2022-01-09,RI,1727.8
2022-01-09,SC,8225.9
2022-01-09,SD,1587.4
2022-01-09,TN,13074.5
2022-01-09,TX,44943.1
2022-01-09,UT,3234.3
2022-01-09,VA,12274.6
2022-01-09,VI,101.3
2022-01-09,VT,816.6
2022-01-09,WA,9559.2
2022-01-09,WI,8484.9
2022-01-09,WV,3903.7000000000003
2022-01-09,WY,587.9
2022-01-16,AK,784.7
2022-01-16,AL,10540.1
2022-01-16,AR,5552.8
2022-01-16,AS,77.7
2022-01-16,AZ,11701.6
2022-01-16,CA,50928.0
2022-01-16,CO,7254.4
2022-01-16,CT,6119.7
2022-01-16,DC,2183.7
2022-01-16,DE,2274.6
2022-01-16,FL,44219.2
