state,date,series_complete_yes,booster_doses
AK,2022-01-01,412439,143565
AK,2022-01-02,412439,143565
AK,2022-01-03,413002,145660
AK,2022-01-04,413047,145832
AK,2022-01-05,413413,146742
AK,2022-01-06,413827,147814
AK,2022-01-07,414195,148931
AK,2022-01-08,414557,150205
AK,2022-01-09,414614,150222
AK,2022-01-10,414621,150232
AK,2022-01-11,415335,153023
AK,2022-01-12,415674,153809
AK,2022-01-13,416173,155021
AK,2022-01-14,416321,155044
AK,2022-01-15,416919,157296
AK,2022-01-16,416968,157313
AK,2022-01-17,416969,157318
AK,2022-01-18,417456,159635
AK,2022-01-19,424327,160102
AK,2022-01-20,424625,160973
AK,2022-01-21,425012,161906
AK,2022-01-22,425270,162928
AK,2022-01-23,425292,162948
AK,2022-01-24,425640,164852
AK,2022-01-25,425713,165106
AK,2022-01-26,425905,165606
AK,2022-01-27,426170,166328
AK,2022-01-28,426402,167017
AK,2022-01-29,426749,167697
AK,2022-01-30,426767,167711
AK,2022-01-31,427182,168834
AK,2022-02-01,427300,169086
AK,2022-02-02,427344,169097
AK,2022-02-03,436875,174850
AK,2022-02-04,437138,175450
AK,2022-02-05,437339,175929
AK,2022-02-06,437377,175932
AK,2022-02-07,437742,176809
AK,2022-02-08,437792,176922
AK,2022-02-09,437839,176936
AK,2022-02-10,437871,176958
AK,2022-02-11,438482,178195
AK,2022-02-12,438745,178685
AK,2022-02-13,438751,178688
AK,2022-02-14,438753,178694
AK,2022-02-15,439076,179459
AK,2022-02-16,439086,179465
AK,2022-02-17,444386,180070
AK,2022-02-18,444604,180433
AK,2022-02-19,444763,180744
AK,2022-02-20,444767,180751
AK,2022-02-21,444769,180753
AK,2022-02-22,445185,181414
AK,2022-02-23,445199,181422
AK,2022-02-24,445530,181923
AK,2022-02-25,445545,181929
AK,2022-02-26,445584,181943
AK,2022-02-27,446088,182814
AK,2022-02-28,446095,182815
AK,2022-03-01,446122,182822
AK,2022-03-02,446374,183285
AK,2022-03-03,446380,183296
AK,2022-03-04,446744,183805
AK,2022-03-05,446818,183812
AK,2022-03-06,446826,183818
AK,2022-03-07,447129,184434
AK,2022-03-08,448558,186778
AK,2022-03-09,448686,187020
AK,2022-03-10,448898,187318
AK,2022-03-11,449023,187532
AK,2022-03-12,449142,187719
AK,2022-03-13,449155,187722
AK,2022-03-14,449156,187723
AK,2022-03-15,449359,188122
AK,2022-03-16,449359,188122
AK,2022-03-17,449380,188128
AK,2022-03-18,449438,188137
AK,2022-03-19,449792,188816
AK,2022-03-20,449818,188816
AK,2022-03-21,450029,189124
AK,2022-03-22,450047,189172
AK,2022-03-23,450454,189673
AK,2022-03-24,450551,189845
AK,2022-03-25,450649,190009
AK,2022-03-26,450683,190018
AK,2022-03-27,450766,190024
AK,2022-03-28,451088,190651
AK,2022-03-29,451111,190688
AK,2022-03-30,451128,190696
AK,2022-03-31,451313,191069
AL,2022-01-01,2340996,648381
AL,2022-01-02,2340996,648381
AL,2022-01-03,2343601,655288
AL,2022-01-04,2345599,659747
AL,2022-01-05,2346404,661457
AL,2022-01-06,2349085,668394
AL,2022-01-07,2351731,676060
AL,2022-01-08,2354087,683047
AL,2022-01-09,2355660,687451
AL,2022-01-10,2357727,693030
AL,2022-01-11,2358758,695417
AL,2022-01-12,2361490,702664
AL,2022-01-13,2363643,708033
AL,2022-01-14,2369558,717630
AL,2022-01-15,2371514,723210
AL,2022-01-16,2372246,725441
AL,2022-01-17,2373038,727947
AL,2022-01-18,2374104,730931
AL,2022-01-19,2396308,734927
AL,2022-01-20,2397146,736300
AL,2022-01-21,2401094,746356
AL,2022-01-22,2401192,746510
AL,2022-01-23,2411652,776197
AL,2022-01-24,2412148,777061
AL,2022-01-25,2414385,781521
AL,2022-01-26,2417639,788216
AL,2022-01-27,2418268,789208
AL,2022-01-28,2421487,794597
AL,2022-01-29,2421967,795324
AL,2022-01-30,2423893,798617
AL,2022-01-31,2425057,800020
AL,2022-02-01,2426408,801720
AL,2022-02-02,2427838,803638
AL,2022-02-03,2429527,806102
AL,2022-02-04,2431444,808688
AL,2022-02-05,2433084,810834
AL,2022-02-06,2434307,812405
AL,2022-02-07,2435296,813510
AL,2022-02-08,2437859,816119
AL,2022-02-09,2439486,817848
AL,2022-02-10,2440010,818351
AL,2022-02-11,2442615,821309
AL,2022-02-12,2444148,823248
AL,2022-02-13,2444634,823660
AL,2022-02-14,2445646,824670
AL,2022-02-15,2448121,827392
AL,2022-02-16,2448559,827819
AL,2022-02-17,2451886,830302
AL,2022-02-18,2452990,831488
