state,date,series_complete_yes,booster_doses
AK,2022-01-02,412439.0,143565.0
AK,2022-01-09,413807.85714285716,147915.14285714287
AK,2022-01-16,416001.5714285714,154534.0
AK,2022-01-23,422707.28571428574,160830.0
AK,2022-01-30,426192.28571428574,166331.0
AK,2022-02-06,432936.4285714286,172739.7142857143
AK,2022-02-13,438174.5714285714,177599.0
AK,2022-02-20,442205.0,179945.14285714287
AK,2022-02-27,445414.28571428574,181742.57142857142
AK,2022-03-06,446479.85714285716,183379.0
AK,2022-03-13,448655.85714285716,186931.85714285713
AK,2022-03-20,449471.71428571426,188266.2857142857
AK,2022-03-27,450454.14285714284,189695.0
AK,2022-04-03,451160.0,190776.0
AL,2022-01-02,2340996.0,648381.0
AL,2022-01-09,2349452.4285714286,670206.2857142857
AL,2022-01-16,2364990.8571428573,709346.4285714285
AL,2022-01-23,2393504.8571428573,742738.2857142857
AL,2022-01-30,2418541.0,789220.5714285715
AL,2022-02-06,2429666.4285714286,806201.0
AL,2022-02-13,2440578.285714286,819149.2857142857
AL,2022-02-20,2450944.0,829941.2857142857
AL,2022-02-27,2459583.8571428573,839875.0
AL,2022-03-06,2466236.1428571427,847629.5714285715
AL,2022-03-13,2471650.0,853595.1428571428
AL,2022-03-20,2476888.8571428573,858973.5714285715
AL,2022-03-27,2480357.8571428573,863100.1428571428
AL,2022-04-03,2482855.75,866323.75
AR,2022-01-02,1545587.0,467495.0
AR,2022-01-09,1553799.857142857,491668.14285714284
AR,2022-01-16,1563745.0,524653.7142857143
AR,2022-01-23,1576491.4285714286,549874.2857142857
AR,2022-01-30,1586317.0,568249.5714285715
AR,2022-02-06,1593444.142857143,580805.4285714285
AR,2022-02-13,1600025.857142857,590804.0
AR,2022-02-20,1606831.5714285714,599010.4285714285
AR,2022-02-27,1612314.0,606589.1428571428
AR,2022-03-06,1615711.4285714286,611685.0
AR,2022-03-13,1620086.0,617610.1428571428
AR,2022-03-20,1623445.0,621891.7142857143
AR,2022-03-27,1626331.857142857,626040.8571428572
AR,2022-04-03,1627929.75,628943.0
AS,2022-01-02,32705.0,3408.0
AS,2022-01-09,34792.71428571428,3778.1428571428573
AS,2022-01-16,36090.857142857145,4272.428571428572
AS,2022-01-23,36594.142857142855,4638.142857142857
AS,2022-01-30,36932.28571428572,4918.714285714285
AS,2022-02-06,37453.0,5151.857142857143
AS,2022-02-13,37845.57142857143,5480.0
AS,2022-02-20,38024.28571428572,5841.142857142857
AS,2022-02-27,38180.71428571428,6361.142857142857
AS,2022-03-06,38490.71428571428,8432.142857142857
AS,2022-03-13,39012.71428571428,11844.857142857143
AS,2022-03-20,39681.57142857143,15946.285714285714
AS,2022-03-27,40035.42857142857,17705.14285714286
AS,2022-04-03,40392.5,19156.0
AZ,2022-01-02,4155709.0,1263612.0
AZ,2022-01-09,4175446.5714285714,1321087.5714285714
AZ,2022-01-16,4207427.142857143,1417205.857142857
AZ,2022-01-23,4241051.857142857,1497584.5714285714
AZ,2022-01-30,4267497.428571428,1564110.142857143
AZ,2022-02-06,4293455.571428572,1620096.857142857
AZ,2022-02-13,4322319.285714285,1662425.142857143
AZ,2022-02-20,4345415.857142857,1693131.7142857143
AZ,2022-02-27,4365222.0,1717738.142857143
AZ,2022-03-06,4381884.857142857,1739276.4285714286
AZ,2022-03-13,4394968.0,1756585.0
AZ,2022-03-20,4406575.428571428,1772200.0
